model_id,RMSD,MCQ,TM-score
CG_RMSD_rp18,0.43452980773106537,0.47113950582449915,-0.39156353587973275
CG_RMSD_rp13,0.2717245989304813,0.18014705882352944,-0.5262102732086846
CG_RMSD_rp25,0.5913224574976323,0.5991839129054257,-0.559463109971062
CG_RMSD_rp29,0.7013658176448876,0.5039222323730576,-0.5160139125141856
CG_RMSD_rp06,0.7363761343616758,0.44688644688644685,-0.6687023212494534
CG_RMSD_rp09,0.6697354961274296,0.566188597315296,-0.6873629935635507
CG_RMSD_rp08,0.5237314296739342,0.4931868061353507,-0.48553695810028824
CG_RMSD_rp34,0.18802936194240544,0.07622811970638058,-0.4028249230465312
CG_RMSD_rp04,0.4510597092937848,0.3188228599765669,-0.4801034484551565
CG_RMSD_rp21,0.4820566843545176,-0.010043207971481581,-0.3708278938394723
CG_RMSD_rp07,0.6031746031746031,0.25614410312166086,-0.45672416957092327
CG_RMSD_rp12,0.8157635467980293,0.17317403752490937,-0.6982133179911432
CG_RMSD_rp32,0.3038961038961039,-0.14675324675324675,0.4618382835329975
CG_RMSD_rp11,0.28174849398662427,0.08610724321611715,-0.09959884925726363
CG_RMSD_rp17,0.3527883880825057,0.04048892284186402,-0.5297982946943305
CG_RMSD_rp05,0.5490061686086359,0.40603201615834833,-0.5725978809796132
CG_RMSD_rp03,0.43019204278421525,0.36018150879183214,-0.35995300057907326
CG_RMSD_rp16,0.5693235765970645,0.5787398627623351,-0.5046529576751455
CG_RMSD_rp24,0.5364304812834225,0.3920454545454546,-0.39772727272727276
CG_RMSD_rp23,0.2802899385560676,0.2970465755611316,-0.1341479544438899
CG_RMSD_rp14_free,0.6342245989304813,0.062490450725744835,-0.6099182554995054
CG_RMSD_rp14_bound,0.08639157379306828,-0.05900148874545023,-0.2574492927698236
